date -> 2023-03-27 00:00:00 weakest-> ['NOKUSD', 'BRLUSD'] strongest-> ['JPYUSD', 'EURUSD']
date -> 2023-03-28 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['JPYUSD', 'GBPUSD']
date -> 2023-03-29 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'EURUSD']
date -> 2023-03-30 00:00:00 weakest-> ['INRUSD', 'CADUSD'] strongest-> ['JPYUSD', 'GBPUSD']
date -> 2023-03-31 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['EURUSD', 'GBPUSD']
date -> 2023-04-03 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['EURUSD', 'GBPUSD']
date -> 2023-04-04 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['JPYUSD', 'EURUSD']
date -> 2023-04-05 00:00:00 weakest-> ['NOKUSD', 'INRUSD'] strongest-> ['GBPUSD', 'JPYUSD']
date -> 2023-04-06 00:00:00 weakest-> ['NOKUSD', 'INRUSD'] strongest-> ['GBPUSD', 'JPYUSD']
date -> 2023-04-07 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'JPYUSD']
date -> 2023-04-10 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'CHFUSD']
date -> 2023-04-11 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'CHFUSD']
date -> 2023-04-12 00:00:00 weakest-> ['AUDUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'EURUSD']
date -> 2023-04-13 00:00:00 weakest-> ['AUDUSD', 'NOKUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2023-04-14 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2023-04-17 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['BRLUSD', 'CHFUSD']
date -> 2023-04-18 00:00:00 weakest-> ['AUDUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'BRLUSD']
date -> 2023-04-19 00:00:00 weakest-> ['AUDUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'BRLUSD']
date -> 2023-04-20 00:00:00 weakest-> ['INRUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'EURUSD']
