open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1663027200000,22398.46000000,22822.29000000,19860.82000000,20172.44000000,190085.66745000,1663113599999,4088792381.55206380,2936593,93832.53639000,2020255561.05975580,0
1663113600000,20172.44000000,20536.29000000,19622.07000000,20228.74000000,136474.05158000,1663199999999,2758320076.57269180,2094362,67930.21418000,1373133449.56288020,0
1663200000000,20227.36000000,20335.00000000,19484.49000000,19699.55000000,110798.18321000,1663286399999,2214179078.04026010,2217208,53500.51941000,1069473991.39725100,0
1663286400000,19700.00000000,19889.50000000,19322.10000000,19802.05000000,120473.15155000,1663372799999,2370360812.26730580,2149755,60881.54965000,1197940147.84582840,0
1663372800000,19801.54000000,20188.71000000,19748.60000000,20113.65000000,65565.44374000,1663459199999,1308845292.05166130,1377196,32355.85657000,645919422.98705990,0
1663459200000,20114.20000000,20118.10000000,19335.93000000,19416.40000000,115860.98449000,1663545599999,2289212013.88942280,1784663,57204.88787000,1130164716.43286140,0
1663545600000,19416.50000000,19689.00000000,18225.00000000,19538.73000000,156534.57483000,1663631999999,2964791341.77733260,2367522,78262.34204000,1481981035.28459550,0
1663632000000,19539.22000000,19637.68000000,18715.37000000,18874.21000000,133888.04105000,1663718399999,2562969425.14833430,2188419,66271.18531000,1268576983.92991830,0
1663718400000,18874.85000000,19966.00000000,18126.00000000,18460.65000000,151251.46228000,1663804799999,2882434838.40227850,2646815,74749.24904000,1425157617.50033500,0
1663804800000,18460.00000000,19533.17000000,18357.14000000,19398.81000000,140699.80162000,1663891199999,2671801773.92698920,2199193,69463.55663000,1319153687.74362300,0
1663891200000,19401.12000000,19500.82000000,18530.81000000,19287.05000000,142498.31256000,1663977599999,2708832946.92043630,2165598,70432.04366000,1339032640.33126360,0
1663977600000,19287.74000000,19312.66000000,18808.09000000,18921.88000000,79700.23416000,1664063999999,1520296375.03923630,1308472,39350.16409000,750638590.15000060,0
1664064000000,18921.38000000,19180.00000000,18631.72000000,18808.64000000,83757.24919000,1664150399999,1588530498.72955520,1417834,41668.98410000,790387040.31594640,0
1664150400000,18806.63000000,19320.53000000,18680.98000000,19227.93000000,136984.51277000,1664236799999,2605863822.14596630,2365921,68978.23175000,1312264236.64326160,0
1664236800000,19226.50000000,20382.73000000,18818.45000000,19077.12000000,207381.46325000,1664323199999,4093778310.09801870,3613409,103960.97224000,2052275454.96369090,0
1664323200000,19077.53000000,19777.00000000,18466.00000000,19412.31000000,212946.71757000,1664409599999,4067917996.62979810,3035932,107637.50141000,2056521023.31087940,0
1664409600000,19412.31000000,19645.00000000,18843.39000000,19592.46000000,136198.36403000,1664495999999,2635866302.46718620,2149945,67834.11221000,1312953714.52926800,0
1664496000000,19591.26000000,20183.39000000,19118.00000000,19423.90000000,144298.13270000,1664582399999,2823721512.30605760,2354658,71860.12716000,1406306742.88911880,0
1664582400000,19424.60000000,19485.01000000,19159.84000000,19311.32000000,57253.40565000,1664668799999,1106540847.89987280,926887,28270.49715000,546411532.30415760,0
1664668800000,19311.66000000,19395.75000000,18921.68000000,19057.59000000,64916.28886000,1664755199999,1246121820.38898890,1145811,31755.75298000,609556263.35026540,0
1664755200000,19057.59000000,19720.00000000,18960.00000000,19632.33000000,112321.77083000,1664841599999,2171636219.37256210,1803613,56893.30456000,1100050253.70858400,0
1664841600000,19632.32000000,20468.40000000,19496.43000000,20346.00000000,125238.23140000,1664927999999,2504086616.20433060,1981571,62856.42371000,1256910028.53002780,0
1664928000000,20344.46000000,20370.10000000,19727.35000000,20160.74000000,126634.40636000,1665014399999,2545441037.12868240,2019594,63384.93759000,1274146687.24912610,0
1665014400000,20161.80000000,20453.69000000,19861.00000000,19965.02000000,128309.70825000,1665100799999,2585850924.76517800,2069679,63899.52691000,1287994634.16004960,0
1665100800000,19963.00000000,20067.00000000,19323.16000000,19531.85000000,98156.35166000,1665187199999,1933852508.80299960,1733586,48511.12052000,955942305.56847720,0
1665187200000,19532.48000000,19630.00000000,19247.77000000,19418.10000000,43873.01949000,1665273599999,854544595.20462630,929601,21446.49716000,417729147.66769660,0
1665273600000,19419.19000000,19558.82000000,19320.03000000,19443.12000000,52009.99234000,1665359999999,1011557719.45630060,963729,25506.71240000,496096207.54993950,0
1665360000000,19442.64000000,19527.70000000,19021.69000000,19132.98000000,99450.70421000,1665446399999,1919348435.08252960,1781409,49431.38150000,954050462.78119720,0
1665446400000,19133.05000000,19267.11000000,18858.01000000,19058.43000000,111599.64544000,1665532799999,2127816516.96643000,1871607,56063.39555000,1068990441.59575850,0
1665532800000,19058.43000000,19239.86000000,18971.42000000,19155.15000000,97219.28497000,1665619199999,1858127246.16482000,1780206,49089.02717000,938266048.34316960,0
1665619200000,19154.76000000,19509.99000000,18196.00000000,19372.38000000,158348.10771000,1665705599999,2994913433.84997070,3083623,77498.73225000,1465930557.99319910,0
1665705600000,19375.03000000,19956.57000000,19076.67000000,19177.71000000,177794.17821000,1665791999999,3477708458.64251060,2909110,88584.75624000,1732921237.20163670,0
1665792000000,19177.17000000,19227.71000000,18978.00000000,19070.81000000,53759.84782000,1665878399999,1028673621.02862640,1221959,26325.88560000,503764107.01943200,0
1665878400000,19070.25000000,19426.55000000,19065.18000000,19263.01000000,61883.55661000,1665964799999,1187916016.41515770,1341276,31026.92840000,595594173.81578550,0
1665964800000,19263.00000000,19677.65000000,19155.33000000,19549.39000000,117731.18596000,1666051199999,2289091453.19839110,2161093,58558.82806000,1138548310.56298190,0
1666051200000,19550.00000000,19707.96000000,19091.97000000,19328.78000000,159242.39863000,1666137599999,3099650200.84846920,2496764,79228.43160000,1542291519.02373330,0
1666137600000,19328.57000000,19361.01000000,19067.07000000,19124.89000000,111652.92570000,1666223999999,2144642326.46398250,2053043,55561.69488000,1067300284.26813490,0
1666224000000,19124.89000000,19348.46000000,18900.00000000,19041.73000000,121432.90858000,1666310399999,2323062432.21663680,2254744,60155.71482000,1150868074.37129340,0
1666310400000,19041.75000000,19250.00000000,18660.00000000,19164.41000000,144425.55846000,1666396799999,2749377081.10127440,2391286,72035.82824000,1371412044.20858230,0
1666396800000,19165.13000000,19260.56000000,19114.00000000,19205.39000000,46796.56534000,1666483199999,897569728.27087190,962695,23632.33121000,453303639.37512230,0
1666483200000,19205.03000000,19695.23000000,19073.00000000,19571.01000000,71328.22288000,1666569599999,1381271982.18253810,1505356,35313.81893000,683940015.45887650,0
1666569600000,19571.05000000,19601.78000000,19161.35000000,19331.44000000,116836.22307000,1666655999999,2261025819.18344890,2360830,57766.48258000,1117966895.29452130,0
1666656000000,19331.46000000,20421.37000000,19240.00000000,20084.30000000,161939.73502000,1666742399999,3205071823.49125440,3099284,82060.38170000,1624257362.33756470,0
1666742400000,20085.25000000,21049.98000000,20055.21000000,20776.50000000,188019.21078000,1666828799999,3870720663.98154660,3630886,95240.06678000,1960735812.68268500,0
1666828800000,20775.00000000,20877.49000000,20198.59000000,20295.20000000,153076.42280000,1666915199999,3155275409.13930860,2953199,76340.34980000,1573677894.51147440,0
